wkt_geom,Filename,OriginatorsIdentifier,latDD,lonDD,Site,StartDate,StartTime,EndDate,EndTime
POINT(-3.758300 53.393300),cmd\b0015508.lst,416/6,53.3933,-3.7583,416/6,19/03/77,01:00:00,17/04/77,14:32:00
POINT(-3.299900 53.474900),cmd\b0018739.lst,C/409/B,53.4749,-3.2999,C/409/B,10/11/70,14:11:00,18/11/70,15:11:00
POINT(-3.703300 53.453300),cmd\b0015521.lst,295/1,53.4533,-3.7033,R4,20/04/71,10:33:00,03/06/71,11:36:00
POINT(-3.500000 53.566600),cmd\b0018740.lst,D/457/T,53.5666,-3.5,SD,11/11/70,10:14:00,17/11/70,15:14:00
POINT(-3.549900 53.533300),cmd\b0018764.lst,1/098/T,53.5333,-3.5499,SMIDGRIDBUOY,10/03/70,12:05:00,11/04/70,01:25:00
POINT(-3.549900 53.533300),cmd\b0018776.lst,1/153/B,53.5333,-3.5499,SMIDGRIDBUOY,10/03/75,12:04:00,01/05/75,11:24:00
POINT(-3.486600 53.481600),cmd\b0015570.lst,2576/1,53.4816,-3.4866,2576/1,16/03/77,09:49:00,16/04/77,13:39:00
POINT(-3.549900 53.533300),cmd\b0018788.lst,2/295/T,53.5333,-3.5499,SMIDGRIDBUOY,01/05/70,14:35:00,16/06/70,11:28:00
POINT(-3.549900 53.533300),cmd\b0018807.lst,2/287/B,53.5333,-3.5499,SMIDGRIDBUOY,01/05/70,14:29:00,16/06/70,11:29:00
POINT(-3.549900 53.533300),cmd\b0018819.lst,3/291/T,53.5333,-3.5499,SMIDGRIDBUOY,16/06/70,14:31:00,08/07/70,12:08:00
POINT(-3.549900 53.533300),cmd\b0018820.lst,3/300/B,53.5333,-3.5499,SMIDGRIDBUOY,16/06/70,14:32:00,08/07/70,11:38:00
POINT(-3.549900 53.533300),cmd\b0018832.lst,4/409/T,53.5333,-3.5499,SMIDGRIDBUOY,08/07/70,14:58:00,21/09/70,09:40:00
POINT(-3.549900 53.533300),cmd\b0018844.lst,5/300/T,53.5333,-3.5499,SMIDGRIDBUOY,21/09/70,12:57:00,10/11/70,15:07:00
POINT(-3.549900 53.533300),cmd\b0018856.lst,5/287/B,53.5333,-3.5499,SMIDGRIDBUOY,21/09/70,12:56:00,10/11/70,14:56:00
POINT(-3.549900 53.533300),cmd\b0018868.lst,6/197/T,53.5333,-3.5499,SMIDGRIDBUOY,10/11/70,16:58:00,18/11/70,08:39:00
POINT(-3.549900 53.533300),cmd\b0018881.lst,6/219/MT,53.5333,-3.5499,SMIDGRIDBUOY,10/11/70,16:39:00,18/11/70,08:41:00
POINT(-3.549900 53.533300),cmd\b0018893.lst,6/306/MB,53.5333,-3.5499,SMIDGRIDBUOY,10/11/70,16:18:00,18/11/70,08:40:00
POINT(-3.549900 53.533300),cmd\b0018900.lst,6/153/B,53.5333,-3.5499,SMIDGRIDBUOY,10/11/70,16:50:00,18/11/70,08:43:00
POINT(-3.641600 53.474900),cmd\b0014843.lst,160/1,53.4749,-3.6416,R1,12/06/70,11:09:00,26/07/70,15:49:00
POINT(-3.549900 53.533300),cmd\b0018912.lst,7/291/B,53.5333,-3.5499,SMIDGRIDBUOY,18/11/70,14:56:00,21/01/71,13:27:00
POINT(-3.673300 53.454900),cmd\b0014855.lst,212/1,53.4549,-3.6733,R2,12/06/70,13:05:00,08/07/70,15:42:00
POINT(-3.549900 53.533300),cmd\b0018924.lst,8/295/T,53.5333,-3.5499,SMIDGRIDBUOY,21/01/71,15:54:00,28/02/71,12:59:00
POINT(-3.641600 53.474900),cmd\b0014867.lst,213/1,53.4749,-3.6416,R1,12/06/70,11:09:00,27/07/70,11:08:00
POINT(-3.549900 53.533300),cmd\b0018936.lst,8/332/B,53.5333,-3.5499,SMIDGRIDBUOY,21/01/71,16:00:00,26/02/71,20:10:00
POINT(-3.673300 53.454900),cmd\b0014879.lst,214/1,53.4549,-3.6733,R2,12/06/70,13:05:00,08/07/70,15:45:00
POINT(-3.673300 53.454900),cmd\b0014880.lst,236/1,53.4549,-3.6733,R2,12/06/70,13:05:00,08/07/70,15:02:00
POINT(-3.396600 53.454900),cmd\b0014892.lst,415/1,53.4549,-3.3966,R13,14/12/71,21:07:00,31/01/72,10:55:00
POINT(-3.649900 53.451600),cmd\b0015834.lst,1139/5,53.4516,-3.6499,R75,30/06/76,13:05:00,09/07/76,22:10:00
POINT(-3.396600 53.454900),cmd\b0014911.lst,416/1,53.4549,-3.3966,R13,14/12/71,11:10:00,31/01/72,10:53:00
POINT(-3.663300 53.451600),cmd\b0015846.lst,1508/2,53.4516,-3.6633,1508/2,30/06/76,12:25:00,09/07/76,22:50:00
POINT(-3.703300 53.453300),cmd\b0014923.lst,417/1,53.4533,-3.7033,R14,22/12/71,11:55:00,31/01/72,13:13:00
POINT(-3.703300 53.453300),cmd\b0014935.lst,214/4,53.4533,-3.7033,R14,22/12/71,11:56:00,31/01/72,13:18:00
POINT(-3.703300 53.453300),cmd\b0014947.lst,212/5,53.4533,-3.7033,R16,31/01/72,14:13:00,03/03/72,03:02:00
POINT(-3.418300 53.471700),cmd\b0577561.lst,97A2-1B6528,53.4717,-3.4183,S97-A2,21/05/97,14:14:00,05/07/97,08:44:00
POINT(-3.703300 53.453300),cmd\b0014959.lst,213/4,53.4533,-3.7033,R16,31/01/72,14:25:00,07/03/72,13:35:00
POINT(-3.418300 53.471700),cmd\b0577573.lst,97A3-1B6530,53.4717,-3.4183,S97-A3,06/07/97,13:45:00,07/08/97,08:15:00
POINT(-3.396600 53.454900),cmd\b0014960.lst,294/4,53.4549,-3.3966,R15,31/01/72,12:19:00,07/03/72,10:07:00
POINT(-3.551500 53.471700),cmd\b0577585.lst,97B1-1M2586,53.4717,-3.5515,S97-B1,21/04/97,14:05:00,21/05/97,14:35:00
POINT(-3.396600 53.454900),cmd\b0014972.lst,295/4,53.4549,-3.3966,R15,31/01/72,12:16:00,07/03/72,10:28:00
POINT(-3.551500 53.471700),cmd\b0577597.lst,97B1-2B2589,53.4717,-3.5515,S97-B1,21/04/97,14:05:00,21/05/97,14:35:00
POINT(-3.703300 53.453300),cmd\b0014984.lst,160/4,53.4533,-3.7033,R18,07/03/72,14:40:00,17/04/72,11:33:00
POINT(-3.551500 53.470000),cmd\b0577604.lst,97B2-1T2585,53.47,-3.5515,S97-B2,21/05/97,16:37:00,08/06/97,18:27:00
POINT(-3.396600 53.454900),cmd\b0014996.lst,214/5,53.4549,-3.3966,R17,07/03/72,12:18:00,17/04/72,09:50:00
POINT(-3.551500 53.470000),cmd\b0577616.lst,97B2-2B2588,53.47,-3.5515,S97-B2,21/05/97,16:36:00,08/06/97,18:26:00
POINT(-3.396600 53.454900),cmd\b0015011.lst,415/2,53.4549,-3.3966,R17,07/03/72,12:18:00,15/03/72,15:18:00
POINT(-3.550000 53.473300),cmd\b0577628.lst,97B3-1M2586,53.4733,-3.55,S97-B3,06/07/97,16:09:00,07/08/97,07:29:00
POINT(-3.703300 53.453300),cmd\b0015023.lst,416/2,53.4533,-3.7033,R18,07/03/72,14:37:00,15/04/72,08:47:00
POINT(-3.550000 53.473300),cmd\b0577641.lst,97B3-2B6531,53.4733,-3.55,S97-B3,06/07/97,16:04:00,07/08/97,07:24:00
POINT(-3.598700 53.472200),cmd\b0592521.lst,as10528.843,53.4722,-3.5987,POLRIG#843,02/09/01,14:00:00,11/09/01,17:50:00
POINT(-3.396600 53.454900),cmd\b0015035.lst,417/2,53.4549,-3.3966,417/2,07/03/72,10:34:00,14/03/72,21:18:00
POINT(-3.255000 53.475000),cmd\b0043964.lst,5521/230/1,53.475,-3.255,5521/230/1,01/04/84,10:40:00,17/05/84,15:20:00
POINT(-3.598700 53.472200),cmd\b0592533.lst,as11814.843,53.4722,-3.5987,POLRIG#843,02/09/01,13:55:00,06/09/01,02:05:00
POINT(-3.703300 53.453300),cmd\b0015060.lst,160/2,53.4533,-3.7033,R4,20/04/71,10:33:00,03/06/71,11:29:00
POINT(-3.258300 53.470000),cmd\b0043976.lst,5523/231/1,53.47,-3.2583,5523/231/1,01/04/84,11:50:00,17/05/84,14:39:00
POINT(-3.658700 53.474500),cmd\b0592545.lst,as11817.841,53.4745,-3.6587,POLRIG#841,03/09/01,15:45:00,11/09/01,17:05:00
POINT(-3.703300 53.453300),cmd\b0015072.lst,294/1,53.4533,-3.7033,R4,20/04/71,10:33:00,03/06/71,11:13:00
POINT(-3.653300 53.474200),cmd\b0592557.lst,as11818.838,53.4742,-3.6533,POLRIG#838,01/09/01,16:09:00,06/09/01,13:09:00
POINT(-3.673300 53.456600),cmd\b0015084.lst,214/2,53.4566,-3.6733,R3,26/02/71,14:30:00,20/04/71,11:25:00
POINT(-3.653300 53.474200),cmd\b0592569.lst,as11818.845,53.4742,-3.6533,POLRIG#845,10/09/01,19:44:00,23/09/01,19:24:00
POINT(-3.673300 53.456600),cmd\b0015096.lst,213/2,53.4566,-3.6733,R3,26/02/71,14:20:00,20/04/71,11:11:00
POINT(-3.598700 53.472200),cmd\b0592570.lst,as12173.843,53.4722,-3.5987,POLRIG#843,02/09/01,14:00:00,11/09/01,17:50:00
POINT(-3.783300 53.433300),cmd\b0018672.lst,A/327/T,53.4333,-3.7833,SA,10/11/70,11:57:00,18/11/70,12:36:00
POINT(-3.783300 53.433300),cmd\b0018684.lst,A/279/B,53.4333,-3.7833,SA,10/11/70,11:52:00,18/11/70,12:34:00
POINT(-3.591600 53.474900),cmd\b0018696.lst,B/300/T,53.4749,-3.5916,SB,11/11/70,11:46:00,18/11/70,16:36:00
