455757.94	4872107.41
399829.78	4989105.62
250150.81	5117065.88
102358.55	5183320.23
-21110.80	5240405.98
-178959.87	5308045.28
-294542.23	5411636.94
-389122.79	5574770.00
-430491.80	5772475.62
-380056.45	5968835.10
-250983.35	6124857.53
-132563.58	6173056.18
-35900.55	6255951.10
-62999.89	6373888.03
-54244.72	6520431.70
-84251.27	6650768.90
-113686.81	6785568.43
-92425.63	6926867.28
-41370.63	7062923.93
41533.99	7149672.33
95158.54	7201119.56
138892.62	7298620.40
217537.52	7385268.28
277454.47	7365161.46
321551.82	7318107.41
378561.44	7326067.53
433621.39	7393601.15
484470.29	7425689.84
558979.88	7484691.68
621527.44	7464898.18
662846.19	7459780.85
732341.01	7461242.20
794619.29	7452671.67
840407.05	7454396.70
897907.57	7465998.28
944447.27	7473332.03
976478.04	7504892.47
1011239.88	7518882.62
1055274.93	7501661.66
1088523.91	7490106.93
1136768.45	7467337.12
1169043.44	7433627.54
